name,serving_size,calories,saturated_fat,protein,carbohydrate,fat,fiber,sugars,saturated_fatty_acids,monounsaturated_fatty_acids,Category,Type
"Cereals, dry, Hearty Honey & Cinnamon, KASHI GO LEAN Hot Cereal",100 g,367,0.8g,18.39 g,68.00 g,5.30 g,12.0 g,17.70 g,0.800 g,1.790 g,Protein,Other
"Pork, raw, separable lean and fat, shank half, leg (ham), fresh",100 g,193,3.9g,19.87 g,0.00 g,11.96 g,0.0 g,0.00 g,3.942 g,5.067 g,Protein,Red Meat
"Rice, with salt, unenriched, cooked, regular, long-grain, white",100 g,130,0.1g,2.69 g,28.17 g,0.28 g,0.4 g,0.05 g,0.077 g,0.088 g,Carbs,Grains (Vegan)
"Winged bean, with salt, drained, boiled, cooked, immature seeds",100 g,37,0.1g,5.31 g,3.21 g,0.66 g,0,0,0.101 g,0.237 g,Mixed,Legumes (Vegan)
"Soup, prepared with equal volume milk, canned, cream of chicken",100 g,77,1.9g,3.01 g,6.04 g,4.62 g,0.1 g,0,1.870 g,1.800 g,Mixed,Poultry
"Squash, without salt, boiled, cooked, frozen, butternut, winter",100 g,39,,1.23 g,10.05 g,0.07 g,0,0,0.014 g,0.005 g,Vegetables,Nuts and Seeds (Vegan)
"Pokeberry shoots, without salt, drained, boiled, cooked, (poke)",100 g,20,0.1g,2.30 g,3.10 g,0.40 g,1.5 g,1.60 g,0.092 g,0.013 g,Vegetables,Vegetables (Vegan)
"Soup, prepared with equal volume water, canned, cream of shrimp",100 g,36,1.3g,1.11 g,3.27 g,2.07 g,0.1 g,0.24 g,1.290 g,0.595 g,Mixed,Other
"Soup, prepared with equal volume water, canned, cream of potato",100 g,30,0.5g,0.72 g,4.70 g,0.97 g,0.2 g,0,0.500 g,0.230 g,Vegetables,Other
"Beef, boiled, cooked, manufacturing beef, imported, New Zealand",100 g,126,1.2g,24.21 g,0.00 g,3.26 g,0.0 g,0.00 g,1.154 g,0.897 g,Protein,Red Meat
"Cereals, dry, unenriched, regular and quick, yellow, corn grits",100 g,371,0.2g,8.80 g,79.60 g,1.20 g,1.6 g,0.64 g,0.155 g,0.300 g,Carbs,Other
"Veal, raw, separable lean only, whole (arm and blade), shoulder",100 g,112,0.9g,19.79 g,0.00 g,3.00 g,0.0 g,0,0.900 g,0.960 g,Protein,Other
"Soup, prepared with equal volume water, canned, cream of celery",100 g,37,0.6g,0.68 g,3.62 g,2.29 g,0.3 g,0,0.580 g,0.530 g,Mixed,Other
"Turnover, unprepared, frozen, tomato-based sauce, cheese-filled",100 g,235,4.7g,10.24 g,27.29 g,9.45 g,1.6 g,7.87 g,4.724 g,3.014 g,Carbs,Dairy (Vegetarian)
"Brussels sprouts, without salt, drained, boiled, cooked, frozen",100 g,42,0.1g,3.64 g,8.32 g,0.39 g,4.1 g,2.08 g,0.081 g,0.030 g,Vegetables,Vegetables (Vegan)
"Beans, without salt, boiled, cooked, mature seeds, black turtle",100 g,130,0.1g,8.18 g,24.35 g,0.35 g,8.3 g,0.32 g,0.089 g,0.030 g,Carbs,Legumes (Vegan)
"Salmon, smoked (Alaska Native), filets with skin, red (sockeye)",100 g,345,2.6g,60.62 g,0.00 g,11.43 g,0.0 g,0.00 g,2.593 g,4.025 g,Protein,Fish
"Chicken, roasted, cooked, meat only, breast, broilers or fryers",100 g,165,1g,31.02 g,0.00 g,3.57 g,0.0 g,0.00 g,1.010 g,1.240 g,Protein,Poultry
"Buffalo, cooked (Shoshone Bannock), top round steak, free range",100 g,146,0.6g,32.51 g,0.00 g,1.80 g,0,0,0.595 g,0.614 g,Protein,Other
"Elk, cooked (Shoshone Bannock), eye of round, roast, free range",100 g,148,1.1g,30.56 g,0.00 g,2.85 g,0.0 g,0.00 g,1.125 g,1.353 g,Protein,Other
"Peas and carrots, without salt, drained, boiled, cooked, frozen",100 g,48,0.1g,3.09 g,10.12 g,0.42 g,3.1 g,4.36 g,0.077 g,0.035 g,Vegetables,Vegetables (Vegan)
"Pork, raw, separable lean only, country-style ribs, loin, fresh",100 g,140,2g,20.76 g,0.00 g,5.64 g,0.0 g,0.00 g,2.012 g,2.477 g,Protein,Red Meat
"Pork, roasted, separable lean only, arm picnic, shoulder, cured",100 g,170,2.4g,24.94 g,0.00 g,7.04 g,0.0 g,0.00 g,2.360 g,3.230 g,Protein,Red Meat
"Potatoes, unprepared, frozen, salt added in processing, roasted",100 g,130,0.2g,2.22 g,26.15 g,1.81 g,2.6 g,0.69 g,0.167 g,0,Carbs,Other
